Slovo;POSTAG;Slovo2;POSTAG2
istotu;SSfs4;istotu;SSfs4
“;Z;“;Z
,;Z;,;Z
mieni;VKesc+;mieni;VKesc+
profesor;SSms1;profesor;SSms1
Ďurovič;SSms1:r;Ďurovič;SSms1:r
.;SENT;.;Z
Faktom;SSis7;Faktom;SSis7
je;VKesc+;je;VKesc+
,;Z;,;Z
že;O;že;O
náboženský;AAis1x;náboženský;AAis1x
fundamentalizmus;SSis1;fundamentalizmus;SSis1
prežíva;VKesc+;prežíva;VKesc+
svoju;PFfs4;svoju;PFfs4
regeneráciu;SSfs4;regeneráciu;SSfs4
.;SENT;.;Z
“;Z;“;Z
Bavilo;VLescn+;Bavilo;VLescn+
ma;PPhs4;ma;PPhs4
písať;VIe+;písať;VIe+
kompozície;SSfp4;kompozície;SSfp4
a;O;a;O
na;Eu6;na;Eu6
vynikajúcom;Gkns6x;vynikajúcom;Gkns6x
skalickom;AAns6x;skalickom;AAns6x
gymnáziu;SSns6;gymnáziu;SSns6
boli;VLepcf+;boli;VLepcf+
veľmi;Dx;veľmi;Dx
dobré;AAfp1x;dobré;AAfp1x
podmienky;SSfp1;podmienky;SSfp1
pre;Eu4;pre;Eu4
kultúru;SSfs4;kultúru;SSfs4
.;SENT;.;Z
Nevyhýbali;VLepah-;Nevyhýbali;VLepah-
sme;VKepa+;sme;VKepa+
sa;R;sa;R
ani;T;ani;T
politike;SSfs3;politike;SSfs3
.;SENT;.;Z
Môj;PFms1;Môj;PFms1
otec;SSms1;otec;SSms1
po;Eu6;po;Eu6
jeho;PUis6;jeho;PUis6
rozpade;SSis6;rozpade;SSis6
niekoľko;PUns4;niekoľko;PUns4
týždňov;SSip2;týždňov;SSip2
nespal;VLescm-;nespal;VLescm-
.;SENT;.;Z
.;SENT;.;Z
.;SENT;.;Z
.;SENT;.;Z
.;SENT;.;Z
.;SENT;.;Z
MÔJ;PFis1;MÔJ;PFis1
PRIMÁRNY;AAis1x;PRIMÁRNY;AAis1x
ZÁUJEM;SSis1;ZÁUJEM;SSis1
BOLI;VLepcn+;BOLI;VLepcn+
HUMANIÓRA;SSnp1;HUMANIÓRA;SSnp1
.;SENT;.;Z
Umožniť;VId+;Umožniť;VId+
jazykovedcovi;SSms3;jazykovedcovi;SSms3
rozhovoriť;VId+;rozhovoriť;VId+
sa;R;sa;R
o;Eu6;o;Eu6
systéme;SSis6;systéme;SSis6
v;Eu6;v;Eu6
jazyku;SSis6;jazyku;SSis6
,;Z;,;Z
prináša;VKesc+;prináša;VKesc+
zdanlivo;Dx;zdanlivo;Dx
nebezpečenstvo;SSns1;nebezpečenstvo;SSns4
,;Z;,;Z
že;O;že;O
sa;R;sa;R
vstúpi;VKdsc+;vstúpi;VKdsc+
do;Eu2;do;Eu2
nezaujímavého;AAis2x;nezaujímavého;AAis2x
a;O;a;O
nudného;AAis2x;nudného;AAis2x
sveta;SSis2;sveta;SSis2
.;SENT;.;Z
„;Z;„;Z
Ypsilon;SSis1;Ypsilon;SSis1
ako;O;ako;O
hláska;SSfs1;hláska;SSfs1
nie;T;nie;T
je;VKesc+;je;VKesc-
funkčný;AAis1x;funkčný;AAis1x
a;O;a;O
v;Eu6;v;Eu6
slovenskom;AAis6x;slovenskom;AAis6x
jazyku;SSis6;jazyku;SSis6
takej;PAfs2;takej;PAfs2
hlásky;SSfs2;hlásky;SSfs2
niet;VKesc-;niet;VKesc-
.;SENT;.;Z
Ale;O;Ale;T
takto;PD;takto;PD
sa;R;sa;R
hovorí;VKesc+;hovorí;VKesc+
v;Eu6;v;Eu6
Mikuláši;SSis6:r;Mikuláši;SSis6:r
!;SENT;!;Z
Ukazuje;VKesc+;Ukazuje;VKesc+
sa;R;sa;R
teda;T;teda;T
,;Z;,;Z
že;O;že;O
tým;PFns7;tým;PFns7
stredoslovenským;AAns7x;stredoslovenským;AAns7x
nárečím;SSns7;nárečím;SSns7
,;Z;,;Z
ktorÉ;PAns4;ktorÉ;PAns4
Štúrovci;SSmp1:r;Štúrovci;SSmp1:r
povýšili;VLdpcm+;povýšili;VLdpcm+
na;Eu4;na;Eu4
spisovný;AAis4x;spisovný;AAis4x
JAZYK;SSis4;JAZYK;SSis4
,;Z;,;Z
bol;VLesci+;bol;VLesci+
prestížny;AAis1x;prestížny;AAis1x
liptovský;AAis1x;liptovský;AAis1x
mestský;AAis1x;mestský;AAis1x
jazyk;SSis1;jazyk;SSis1
.;SENT;.;Z
Presvedčil;VLdscm+;Presvedčil;VLdscm+
Záborského;SAms4:r;Záborského;SAms4:r
,;Z;,;Z
že;O;že;O
správna;AAfs1x;správna;AAfs1x
slovenská;AAfs1x;slovenská;AAfs1x
výslovnosť;SSfs1;výslovnosť;SSfs1
je;VKesc+;je;VKesc+
„;Z;„;Z
ľist;%;ľist;%
“;Z;“;Z
.;SENT;.;Z
V;Eu6;V;Eu6
lete;SSis6;lete;SSns6
1948;0;1948;0
v;Eu6;v;Eu6
Prahe;SSfs6:r;Prahe;SSfs6:r
zažiadal;VLdscm+;zažiadal;VLdscm+
o;Eu4;o;Eu4
zahraničné;AAns4x;zahraničné;AAns4x
štipendium;SSns4;štipendium;SSns4
.;SENT;.;Z
VEĽMI;Dx;VEĽMI;Dx
KOMPLIKOVANOU;Gtfs7x;KOMPLIKOVANOU;AAfs7x
ZHODOU;SSfs7;ZHODOU;SSfs7
OKOLNOSTÍ;SSfp2;OKOLNOSTÍ;SSfp2
HO;PFns4;HO;PFns4
PO;Eu6;PO;Eu6
ROKU;SSis6;ROKU;SSis6
dostal;VLdscm+;dostal;VLdscm+
a;O;a;O
odišiel;VLdscm+;odišiel;VLdscm+
;Eu4;;
ROK;SSis4;ROK;SSis4
do;Eu2;do;Eu2
Nórska;SSns2:r;Nórska;SSns2:r
.;SENT;.;Z
Keď;O;Keď;O
sa;R;sa;R
začal;VLdsci+;začal;VLdsci+
semester;SSis1;semester;SSis1
,;Z;,;Z
pustil;VLdsam+;pustil;VLdsam+
som;VKesa+;som;VKesa+
sa;R;sa;R
pod;Eu7;pod;Eu7
vedením;SSns7;vedením;SSns7
profesora;SSms2;profesora;SSms2
SommerfelTa;SSms2:r;SommerfelTa;SSms2:r
do;Eu2;do;Eu2
čítania;SSns2;čítania;SSns2
textov;SSip2;textov;SSip2
.;SENT;.;Z
Rozprávanie;SSns1;Rozprávanie;SSns1
Ľubomíra;SSms2:r;Ľubomíra;SSms2:r
Ďuroviča;SSms2:r;Ďuroviča;SSms2:r
PRIPRAVILA;VLdscf+;PRIPRAVILA;VLdscf+
Kveta;SSfs1:r;Kveta;SSfs1:r
Škvarková;SAfs1:r;Škvarková;SAfs1:r
.;SENT;.;Z
Protiprávna;AAfs1x;Protiprávna;AAfs1x
vojna;SSfs1;vojna;SSfs1
v;Eu6;v;Eu6
Iraku;SSis6:r;Iraku;SSis6:r
,;Z;,;Z
ktorú;PAfs4;ktorú;PAfs4
rozpútala;VLdscf+;rozpútala;VLdscf+
nesvätá;AAfs1x;nesvätá;AAfs1x
aliancia;SSfs1;aliancia;SSfs1
náboženských;AAmp2x;náboženských;AAmp2x
fundamentalistov;SSmp2;fundamentalistov;SSmp2
,;Z;,;Z
megalománov;SSmp2;megalománov;SSmp2
a;O;a;O
kšeftárov;SSmp2;kšeftárov;SSmp2
,;Z;,;Z
je;VKesc+;je;VKesc+
cynickým;AAis7x;cynickým;AAis7x
výsmechom;SSis7;výsmechom;SSis7
všetkých;PFfp2;všetkých;PFfp2
hodnôt;SSfp2;hodnôt;SSfp2
,;Z;,;Z
ktoré;PAfp4;ktoré;PAfp4
naša;PFfs1;naša;PFfs1
západná;AAfs1x;západná;AAfs1x
civilizácia;SSfs1;civilizácia;SSfs1
pokladá;VKesc+;pokladá;VKesc+
za;Eu4;za;Eu4
nedotknuteľné;AAfp4x;nedotknuteľné;AAfp4x
.;SENT;.;Z
Po;Eu6;Po;Eu6
ukončení;SSns6;ukončení;SSns6
tejto;PFfs2;tejto;PFfs2
vojny;SSfs2;vojny;SSfs2
nádejou;SSfs7;nádejou;SSfs7
sveta;SSis2;sveta;SSis2
je;VKesc+;je;VKesc+
zmena;SSfs1;zmena;SSfs1
.;SENT;.;Z
Koruna;SSfs1;Koruna;SSfs1
Sv;W;Sv;W
.;SENT;.;Z
Štefana;SSms2:r;Štefana;SSms2:r
a;O;a;O
ostrihomský;AAis1x;ostrihomský;AAis1x
Primas;%;Primas;%
Hungariae;%;Hungariae;%
sa;R;sa;R
stali;VLdpcn+;stali;VLdpco+
symbolom;SSis7;symbolom;SSis7
Uhorského;AAis2x;Uhorského;AAis2x
štátu;SSis2;štátu;SSis2
.;SENT;.;Z
Boja;SSis2;Boja;SSis2
,;Z;,;Z
ktorého;PAis2;ktorého;PAis2
medze;SSfp4;medze;SSfp4
určovala;VLescf+;určovala;VLescf+
Zlatá;AAfs1x:r;Zlatá;AAfs1x:r
bulla;SSfs1;bulla;SSfs1
.;SENT;.;Z
Náš;PFis1;Náš;PFis1
dnešný;AAis1x;dnešný;AAis1x
spisovný;AAis1x;spisovný;AAis1x
jazyk;SSis1;jazyk;SSis1
je;VKesc+;je;VKesc+
skutočným;AAis7x;skutočným;AAis7x
kompromisom;SSis7;kompromisom;SSis7
medzi;Eu7;medzi;Eu7
radikálnou;AAfs7x;radikálnou;AAfs7x
normou;SSfs7;normou;SSfs7
štúrovcov;SSmp2;štúrovcov;SSmp2
a;O;a;O
požiadavkami;SSfp7;požiadavkami;SSfp7
bernolákovcov;SSmp2;bernolákovcov;SSmp2
i;O;i;O
tradíciou;SSfs7;tradíciou;SSfs7
českou;AAfs7x;českou;AAfs7x
či;O;či;O
československou;AAfs7x;československou;AAfs7x
.;SENT;.;Z
Starú;AAfs4x;Starú;AAfs4x
meravú;AAfs4x;meravú;AAfs4x
nekompromisnosť;SSfs4;nekompromisnosť;SSfs4
a;O;a;O
nekomunikatívnosť;SSfs4;nekomunikatívnosť;SSfs4
oživila;VLdscf+;oživila;VLdscf+
idea;SSfs1;idea;SSfs1
odtrhnutia;SSns2;odtrhnutia;SSns2
Slovenska;SSns2:r;Slovenska;SSns2:r
od;Eu2;od;Eu2
tisícročného;AAns2x;tisícročného;AAns2x
Uhorska;SSns2:r;Uhorska;SSns2:r
a;O;a;O
najmä;T;najmä;T
štátneho;AAns2x;štátneho;AAns2x
spojenia;SSns2;spojenia;SSns2
s;Eu7;s;Eu7
Čechmi;SSmp7:r;Čechmi;SSmp7:r
.;SENT;.;Z
Takže;T;Takže;T
nacionalisticko;Q;nacionalisticko;Q
-;Z;-;Z
sociálny;AAis1x;sociálny;AAis1x
populizmus;SSis1;populizmus;SSis1
Mečiarov;AFis1x:r;Mečiarov;AFis1x:r
je;VKesc+;je;VKesc+
,;Z;,;Z
povedal;VLdsam+;povedal;VLdsam+
by;Y;by;Y
som;VKesa+;som;VKesa+
,;Z;,;Z
prirodzeným;AAis7x;prirodzeným;AAis7x
plodom;SSis7;plodom;SSis7
stáročného;AAis2x;stáročného;AAis2x
vývinu;SSis2;vývinu;SSis2
slovenskej;AAfs2x;slovenskej;AAfs2x
spoločnosti;SSfs2;spoločnosti;SSfs2
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
Pre;Eu4;Pre;Eu4
časopis;SSis4;časopis;SSis4
Záhorského;AAns2x:r;Záhorského;AAns2:r
múzea;SSns2;múzea;SSns2
v;Eu6;v;Eu6
Skalici;SSfs6:r;Skalici;SSfs6:r
„;Z;„;Z
Záhorie;SSns1:r;Záhorie;SSns1:r
“;Z;;
Výstava;SSfs1:r;Výstava;SSfs1
vzorného;AAns2x;vzorného;AAns2x
balenia;SSns2;balenia;SSns2
potravín;SSfp2;potravín;SSfp2
v;Eu6;v;Eu6
Skalici;SSfs6:r;Skalici;SSfs6:r
Nemôžem;VKesa-;Nemôžem;VKesa-
pritom;Dx;pritom;Dx
nespomenúť;VId-;nespomenúť;VId-
ešte;T;ešte;T
jednu;NFfs4;jednu;NFfs4
vec;SSfs4;vec;SSfs4
.;SENT;.;Z
Kto;PFms1;Kto;PFms1
by;Y;by;Y
to;PFns4;to;PFns4
kupoval;VLescm+;kupoval;VLescm+
?;SENT;?;Z
!;SENT;!;Z
A;O;A;O
obchody;SSip1;obchody;SSip1
,;Z;,;Z
ktoré;PAip1;ktoré;PAip1
chcú;VKepc+;chcú;VKepc+
predávať;VIe+;predávať;VIe+
zaručene;Dx;zaručene;Dx
čerstvý;AAms1x;čerstvý;AAis4x
,;Z;,;Z
v;Eu6;v;Eu6
noci;SSfs6;noci;SSfs6
upečený;Gtis4x;upečený;Gtis4x
a;O;a;O
nezabalený;Gtis4x;nezabalený;Gtis4x
chlieb;SSis4;chlieb;SSis4
,;Z;,;Z
musia;VKepc+;musia;VKepc+
ho;PFms4;ho;PFis4
držať;VIe+;držať;VIe+
v;Eu6;v;Eu6
osobitných;AAfp6x;osobitných;AAfp6x
zasklených;Gtfp6x;zasklených;Gtfp6x
policiach;SSfp6;policiach;SSfp6
,;Z;,;Z
takže;O;takže;O
skôr;T;skôr;Dx
nebalenie;SSns1;nebalenie;SSns1
chlieb;SSis1;chlieb;SSis4
zdražuje;VKesc+;zdražuje;VKesc+
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
Vlastný;AAis4x;Vlastný;AAis1x
gól;SSis4;gól;SSis1
slovenskej;AAfs2x;slovenskej;AAfs2x
inteligencie;SSfs2;inteligencie;SSfs2
Pred;Eu7;Pred;Eu7
voľbami;SSfp7;voľbami;SSfp7
bolo;VLescn+;bolo;VLescn+
–;Z;–;Z
v;Eu6;v;Eu6
neposlednom;NAis6;neposlednom;AAis6x
rade;SSis6;rade;SSis6
v;Eu6;v;Eu6
Mostoch;SSip6:r;Mostoch;SSip6:r
–;Z;–;Z
mnoho;NUns4;mnoho;NUns4
krásnych;AAip2x;krásnych;AAip2x
vzletných;AAip2x;vzletných;AAip2x
výkladov;SSip2;výkladov;SSip2
,;Z;,;Z
prečo;PD;prečo;PD
treba;Dx;treba;Dx
voliť;VIe+;voliť;VIe+
Martina;SSms4:r;Martina;SSms4:r
Bútoru;SSms4:r;Bútoru;SSms4:r
.;SENT;.;Z
Takže;T;Takže;T
teraz;Dx;teraz;Dx
veľmi;Dx;veľmi;Dx
čakám;VKesa+;čakám;VKesa+
,;Z;,;Z
či;O;či;O
niekto;PFms1;niekto;PFms1
z;Eu2;z;Eu2
mienkotvorných;AAfp2x;mienkotvorných;AAfp2x
hláv;SSfp2;hláv;SSfp2
Bútorovho;AFis2x:r;Bútorovho;AFis2x:r
elektorátu;SSis2;elektorátu;SSis2
urobí;VKdsc+;urobí;VKdsc+
sebakritickú;AAfs4x;sebakritickú;AAfs4x
analýzu;SSfs4;analýzu;SSfs4
tohto;PFis2;tohto;PFis2
svojho;PFis2;svojho;PFis2
fatálneho;AAis2x;fatálneho;AAis2x
politického;AAis2x;politického;AAis2x
omylu;SSis2;omylu;SSis2
.;SENT;.;Z
Že;O;Že;O
Mečiar;SSms1:r;Mečiar;SSms1:r
,;Z;,;Z
suverénny;AAms1x;suverénny;AAms1x
víťaz;SSms1;víťaz;SSms1
prvého;NAns2;prvého;NAns2
kola;SSns2;kola;SSns2
,;Z;,;Z
v;Eu6;v;Eu6
druhom;NAns6;druhom;NAns6
kole;SSns6;kole;SSns6
bol;VLescm+;bol;VLescm+
spektakulárne;Dx;spektakulárne;Dx
odmietnutý;Gtms1x;odmietnutý;Gtms1x
,;Z;,;Z
je;VKesc+;je;VKesc+
spravodlivý;AAis1x;spravodlivý;AAis1x
trest;SSis1;trest;SSis1
za;Eu4;za;Eu4
roky;SSip4;roky;SSip4
jeho;PUns2;jeho;PUns2
vládnutia;SSns2;vládnutia;SSns2
.;SENT;.;Z
Ľubomír;SSms1:r;Ľubomír;SSms1:r
Ďurovič;SSms1:r;Ďurovič;SSms1:r
profesor;SSms1;profesor;SSms1
emeritus;SSms1;emeritus;%
slovanských;AAip2x;slovanských;AAip2x
jazykov;SSip2;jazykov;SSip2
Scenár;SSis1;Scenár;SSis1
:;Z;:;ZIP
Adam;SSms1:r;Adam;SSms1:r
Rifkin;SSms1:r;Rifkin;SSms1:r
,;Z;,;ZIP
Gavin;SSms1:r;Gavin;SSms1:r
Scott;SSms1:r;Scott;SSms1:r
Réžia;SSfs1;Réžia;SSfs1
:;Z;:;ZIP
Joe;SSms1:r;Joe;SSms1:r
Dante;SFms1:r;Dante;SFms1:r
Kamera;SSfs1;Kamera;SSfs1
:;Z;:;ZIP
Jamie;SFms1:r;Jamie;SFms1:r
Anderson;SSms1:r;Anderson;SSms1:r
Hudba;SSfs1;Hudba;SSfs1
:;Z;:;ZIP
Jerry;SFms1:r;Jerry;SFms1:r
Goldsmith;SSms1:r;Goldsmith;SSms1:r
DOLBY;%;DOLBY;%
STERO;%;STERO;%
Gil;SSms1:r;Gil;SSms1:r
Mars;SSms1:r;Mars;SSms1:r
,;Z;,;ZIP
najbohatší;AAms1z;najbohatší;AAms1z
muž;SSms1;muž;SSms1
sveta;SSis2;sveta;SSis2
,;Z;,;ZIP
je;VKesc+;je;VKesc+
majiteľom;SSms7;majiteľom;SSms7
počítačovej;AAfs2x;počítačovej;AAfs2x
spoločnosti;SSfs2;spoločnosti;SSfs2
MarsTech;W;MarsTech;W
,;Z;,;ZIP
ktorá;PAfs1;ktorá;PAfs1
vyrába;VKesc+;vyrába;VKesc+
aj;T;aj;T
hračky;SSfp4;hračky;SSfp4
pre;Eu4;pre;Eu4
deti;SSnp4;deti;SSnp4
tretieho;NAns2;tretieho;NAns2
tisícročia;SSns2;tisícročia;SSns2
.;SENT;.;ZIP
Dnes;Dx;Dnes;Dx
je;VKesc+;je;VKesc+
autogramiáda;SSfs1;autogramiáda;SSfs1
Ivy;SSfs2:r;Ivy;SSfs2:r
Janžurovej;SAfs2:r;Janžurovej;SAfs2:r
a;O;a;O
Markéty;SSfs2:r;Markéty;SSfs2:r
Hrubešovej;SAfs2:r;Hrubešovej;SAfs2:r
a;O;a;O
potom;Dx;potom;Dx
je;VKesc+;je;VKesc+
tlačová;AAfs1x;tlačová;AAfs1x
konferencia;SSfs1;konferencia;SSfs1
Paulom;SSms7:r;Paulom;SSms7:r
Morrisseyom;SSms7:r;Morrisseyom;SSms7:r
.;SENT;.;ZIP
Večer;Dx;Večer;Dx
bude;VBesc+;bude;VBesc+
Lauren;SUfs1:r;Lauren;SUfs1:r
Bacall;SUfs1:r;Bacall;SUfs1:r
uvádzať;VIe+;uvádzať;VIe+
film;SSis4;film;SSis4
Hlboký;AAis1x:r;Hlboký;AAis1x:r
spánok;SSis1;spánok;SSis1
.;SENT;.;ZIP
Napokon;Dx;Napokon;Dx
zvíťazila;VLdscf+;zvíťazila;VLdscf+
láska;SSfs1;láska;SSfs1
.;SENT;.;ZIP
Grazie;%;Grazie;%
all;%;all;%
';%;';ZIP
Italia;%;Italia;%
.;SENT;.;ZIP
Grazie;%;Grazie;%
all;%;all;%
';Z;';ZIP
America;%;America;%
,;Z;,;ZIP
';Z;';ZIP
';Z;';ZIP
kričal;VLescm+;kričal;VLescm+
z;Eu2;z;Eu2
pódia;SSns2;pódia;SSns2
nadšený;AAms1x;nadšený;AAms1x
Benigni;SFms1:r;Benigni;SFms1:r
.;SENT;.;ZIP
Uvidíme;VKdpa+;Uvidíme;VKdpa+
,;Z;,;ZIP
ako;O;ako;O
do;PFns1;do;PFns1:q
celé;AAns1x;celé;AAns1x
dopadne;VKdsc+;dopadne;VKdsc+
.;SENT;.;ZIP
Pôvodný;AAis1x;Pôvodný;AAis1x
scenár;SSis1;scenár;SSis1
:;Z;:;ZIP
Zamilovaný;Gtms1x:r;Zamilovaný;Gtms1x:r
Shakespeare;SSms1:r;Shakespeare;SSms1:r
Scenár;SSis1;Scenár;SSis1
-;Z;-;ZIP
adaptácia;SSfs1;adaptácia;SSfs1
:;Z;:;ZIP
Tenká;AAfs1x;Tenká;AAfs1x:r
červená;AAfs1x;červená;AAfs1x
čiara;SSfs1;čiara;SSfs1
Výprava;SSfs1;Výprava;SSfs1
:;Z;:;ZIP
Zamilovaný;Gtms1x:r;Zamilovaný;Gtms1x:r
Shakespeare;SSms1:r;Shakespeare;SSms1:r
Kostýmy;SSip1;Kostýmy;SSip1
:;Z;:;ZIP
Kráľovná;SFfs1:r;Kráľovná;SFfs1:r
Alžbeta;SSfs1:r;Alžbeta;SSfs1:r
Pôvodná;AAfs1x;Pôvodná;AAfs1x
hudba;SSfs1;hudba;SSfs1
k;Eu3;k;Eu3
muzikálu;SSis3;muzikálu;SSis3
,;Z;,;ZIP
alebo;O;alebo;O
komédii;SSfs3;komédii;SSfs3
:;Z;:;ZIP
Princ;SSms1;Princ;SSms1:r
egyptský;AAms1x;egyptský;AAms1x
Krátkometrážny;AAis1x;Krátkometrážny;AAis1x
hraný;Gtis1x;hraný;AAis1x
film;SSis1;film;SSis1
:;Z;:;ZIP
LA;%;LA;%
CARTE;%;CARTE;%
POSTALE;%;POSTALE;%
(;Z;(;ZIP
The;%;The;%
Postcard;%;Postcard;%
);Z;);ZIP
Zvuk;SSis1;Zvuk;SSis1
:;Z;:;ZIP
Zachráňte;VMdpb+:r;Zachráňte;VMdpb+:r
vojaka;SSms4;vojaka;SSms4
Ryana;SSms4:r;Ryana;SSms4:r
Vizuálne;AAip1x;Vizuálne;AAip1x
efekty;SSip1;efekty;SSip1
:;Z;:;ZIP
Armageddon;SSis1:r;Armageddon;SSis1:r
Tento;PFis1;Tento;PFis1
ročník;SSis1;ročník;SSis1
priniesol;VLdsci+;priniesol;VLdsci+
hneď;T;hneď;T
niekoľko;PUns4;niekoľko;PUns4
prekvapení;SSnp2;prekvapení;SSnp2
.;SENT;.;ZIP
Kompletný;AAis1x:r;Kompletný;AAis4x
program;SSis1;program;SSis4
3;0;3;0
.;SENT;.;ZIP
Gay;%;Gay;%
Film;%;Film;%
Festivalu;SSis2:r;Festivalu;SSis2:r
Slovakia;%;Slovakia;SSfs1:r
nájdete;VKdpb+;nájdete;VKdpb+
na;Eu4;na;Eu6
Film;%;Film;%
Site;%;Site;%
v;Eu6;v;Eu6
rubrike;SSfs6;rubrike;SSfs6
Ceny;SSfp1;Ceny;SSfp1:r
a;O;a;O
festivaly;SSip1;festivaly;SSip1
.;SENT;.;ZIP
Americká;AAfs1x;Americká;AAfs1x
premiéra;SSfs1;premiéra;SSfs1
bola;VLescf+;bola;VLescf+
plánovaná;Gtfs1x;plánovaná;Gtfs1x
na;Eu4;na;Eu4
júl;SSis4;júl;SSis4
a;O;a;O
v;Eu6;v;Eu6
slovenských;AAnp6x;slovenských;AAnp6x
kinách;SSnp6;kinách;SSnp6
by;Y;by;Y
sa;R;sa;R
mal;VLescm+;mal;VLesci+
objaviť;VId+;objaviť;VId+
21;0;21;0
.;SENT;.;ZIP
10;0;10;0
.;SENT;.;ZIP
1999;0;1999;0
pod;Eu7;pod;Eu7
názvom;SSis7;názvom;SSis7
Spaľujúca;Gkfs1x:r;Spaľujúca;Gkfs1x:r
túžba;SSfs1;túžba;SSfs1
.;SENT;.;ZIP
MICHALKOV;SSms1:r;MICHALKOV;SSms1:r
FOR;%;FOR;%
PRESIDENT;%;PRESIDENT;%
	Z	;;;
Zoberiem;VKdsa+;Zoberiem;VKdsa+
tú;PFfs4;tú;PFfs4
funkciu;SSfs4;funkciu;SSfs4
,;Z;,;ZIP
ak;O;ak;O
to;PFns4;to;PFns4
ľudia;SSmp1;ľudia;SSmp1
naozaj;T;naozaj;T
budú;VBepc+;budú;VBepc+
chcieť;VIe+;chcieť;VIe+
,;Z;,;ZIP
	Z	;;;
povedal;VLdscm+;povedal;VLdscm+
režisér;SSms1;režisér;SSms1
.;SENT;.;ZIP
MADONNA;SSfs1:r;MADONNA;SSfs1:r
REŽISÉRKOU;SSfs7;REŽISÉRKOU;SSfs7
Madonna;SSfs1:r;Madonna;SSfs1:r
po;Eu6;po;Eu6
úspechu;SSis6;úspechu;SSis6
albumu;SSis2;albumu;SSis2
Ray;%;Ray;%
of;%;of;%
Light;%;Light;%
odriekla;VLdscf+;odriekla;VLdscf+
herecké;AAfp4x;herecké;AAfp4x
ponuky;SSfp4;ponuky;SSfp4
.;SENT;.;ZIP
Bude;VBesc+;Bude;VBesc+
to;PFns1;to;PFns1
filmové;AAns1x;filmové;AAns1x
spracovanie;SSns1;spracovanie;SSns1
románu;SSis2;románu;SSis2
Rene;SUms2:r;Rene;SUms2:r
Steinkeho;SSms2:r;Steinkeho;SSms2:r
,;Z;,;ZIP
ktorý;PAms1;ktorý;PAis1
vychádza;VKesc+;vychádza;VKesc+
v;Eu6;v;Eu6
USA;W;USA;W
v;Eu6;v;Eu6
týchto;PFip6;týchto;PFip6
dňoch;SSip6;dňoch;SSip6
.;SENT;.;ZIP
MALKOVICH;SSms1:r;MALKOVICH;SSms1:r
AKO;O;AKO;O
F;W;F;W
.;SENT;.;ZIP
W;W;W;W
.;SENT;.;ZIP
MURNAU;SSms1:r;MURNAU;SSms1:r
Nakrúcanie;SSns1;Nakrúcanie;SSns1
by;Y;by;Y
sa;R;sa;R
malo;VLescn+;malo;VLescn+
začať;VId+;začať;VId+
v;Eu6;v;Eu6
apríli;SSis6;apríli;SSis6
v;Eu6;v;Eu6
Luxemburgu;SSis6:r;Luxemburgu;SSis6:r
.;SENT;.;ZIP
POZOR;J;POZOR;J
!;SENT;!;ZIP
ŠULAJ;SSms1:r;ŠULAJ;SSms1:r
PÍŠE;VKesc+;PÍŠE;VKesc+
ROZPRÁVKU;SSfs4;ROZPRÁVKU;SSfs4
Ako;O;Ako;PD
vyzerá;VKesc+;vyzerá;VKesc+
herec;SSms1;herec;SSms1
snov;SSip2;snov;SSip2
?;SENT;?;ZIP
Telo;SSns1;Telo;SSns1
by;Y;by;Y
malo;VLescn+;malo;VLescn+
mať;VIe+;mať;VIe+
šiju;SSfs4;šiju;SSfs4
Jenny;SUfs2:r;Jenny;SUfs2:r
Elfman;SUfs2:r;Elfman;SUfs2:r
,;Z;,;ZIP
ramená;SSnp4;ramená;SSnp4
Courtney;SUfs2:r;Courtney;SUfs2:r
Love;SUfs2:r;Love;SUfs2:r
,;Z;,;ZIP
zadok;SSis4;zadok;SSis4
Jennifer;SUfs2:r;Jennifer;SUfs2:r
Lopez;SUfs2:r;Lopez;SUfs2:r
,;Z;,;ZIP
pupok;SSis4;pupok;SSis4
Sandry;SSfs2:r;Sandry;SSfs2:r
Bullock;SUfs2:r;Bullock;SUfs2:r
a;O;a;O
nohy;SSfp4;nohy;SSfp4
Miry;SSfs2:r;Miry;SSfs2:r
Sorvino;SUfs2:r;Sorvino;SUfs2:r
.;SENT;.;ZIP
HVIEZDY;SSfp1;HVIEZDY;SSfp1
V;Eu6;V;Eu6
HOLANDSKU;SSns6:r;HOLANDSKU;SSns6:r
Režíruje;VKesc+;Režíruje;VKesc+
ho;PFms4;ho;PFis4
holandský;AAms1x;holandský;AAms1x
režisér;SSms1;režisér;SSms1
Dick;SSms1:r;Dick;SSms1:r
Maas;SSms1:r;Maas;SSms1:r
.;SENT;.;ZIP
Premiéra;SSfs1;Premiéra;SSfs1
by;Y;by;Y
mala;VLescf+;mala;VLescf+
byť;VIe+;byť;VIe+
už;T;už;T
koncom;Eu2;koncom;Eu2
roku;SSis2;roku;SSis2
.;SENT;.;ZIP
Detektíva;SSms4;Detektíva;SSms4
Steva;SSms4:r;Steva;SSms4:r
McGarretta;SSms4:r;McGarretta;SSms4:r
hral;VLescm+;hral;VLescm+
Jack;SSms1:r;Jack;SSms1:r
Lord;SSms1:r;Lord;SSms1:r
.;SENT;.;ZIP
