Slovo;Rod;Slovo2;Rod2
,;;,;
pustil;mužský životný;pustil;mužský životný
som;;som;
sa;;sa;
pod;;pod;
vedením;stredný;vedením;stredný
profesora;mužský životný;profesora;mužský životný
SommerfelTa;mužský životný;SommerfelTa;mužský životný
do;;do;
čítania;stredný;čítania;stredný
textov;mužský neživotný;textov;mužský neživotný
.;;.;
Rozprávanie;stredný;Rozprávanie;stredný
Ľubomíra;mužský životný;Ľubomíra;mužský životný
Ďuroviča;mužský životný;Ďuroviča;mužský životný
PRIPRAVILA;ženský;PRIPRAVILA;ženský
Kveta;ženský;Kveta;ženský
Škvarková;ženský;Škvarková;ženský
.;;.;
Protiprávna;ženský;Protiprávna;ženský
vojna;ženský;vojna;ženský
v;;v;
Iraku;mužský neživotný;Iraku;mužský neživotný
,;;,;
ktorú;ženský;ktorú;ženský
rozpútala;ženský;rozpútala;ženský
nesvätá;ženský;nesvätá;ženský
aliancia;ženský;aliancia;ženský
náboženských;mužský životný;náboženských;mužský životný
fundamentalistov;mužský životný;fundamentalistov;mužský životný
,;;,;
megalománov;mužský životný;megalománov;mužský životný
a;;a;
kšeftárov;mužský životný;kšeftárov;mužský životný
,;;,;
je;;je;
cynickým;mužský neživotný;cynickým;mužský neživotný
výsmechom;mužský neživotný;výsmechom;mužský neživotný
všetkých;ženský;všetkých;ženský
hodnôt;ženský;hodnôt;ženský
,;;,;
ktoré;ženský;ktoré;ženský
naša;ženský;naša;ženský
západná;ženský;západná;ženský
civilizácia;ženský;civilizácia;ženský
pokladá;;pokladá;
za;;za;
nedotknuteľné;ženský;nedotknuteľné;ženský
.;;.;
Po;;Po;
ukončení;stredný;ukončení;stredný
tejto;ženský;tejto;ženský
vojny;ženský;vojny;ženský
nádejou;ženský;nádejou;ženský
sveta;mužský neživotný;sveta;mužský neživotný
je;;je;
zmena;ženský;zmena;ženský
.;;.;
Koruna;ženský;Koruna;ženský
Sv;;Sv;
.;;.;
Štefana;mužský životný;Štefana;mužský životný
a;;a;
ostrihomský;mužský neživotný;ostrihomský;mužský neživotný
Primas;;Primas;
Hungariae;;Hungariae;
sa;;sa;
stali;neurčiteľný;stali;neurčiteľný
symbolom;mužský neživotný;symbolom;mužský neživotný
Uhorského;mužský neživotný;Uhorského;mužský neživotný
štátu;mužský neživotný;štátu;mužský neživotný
.;;.;
Boja;mužský neživotný;Boja;mužský neživotný
,;;,;
ktorého;mužský neživotný;ktorého;mužský neživotný
medze;ženský;medze;ženský
určovala;ženský;určovala;ženský
Zlatá;ženský;Zlatá;ženský
bulla;ženský;bulla;ženský
.;;.;
Náš;mužský neživotný;Náš;mužský neživotný
dnešný;mužský neživotný;dnešný;mužský neživotný
spisovný;mužský neživotný;spisovný;mužský neživotný
jazyk;mužský neživotný;jazyk;mužský neživotný
je;;je;
skutočným;mužský neživotný;skutočným;mužský neživotný
kompromisom;mužský neživotný;kompromisom;mužský neživotný
medzi;;medzi;
radikálnou;ženský;radikálnou;ženský
normou;ženský;normou;ženský
štúrovcov;mužský životný;štúrovcov;mužský životný
a;;a;
požiadavkami;ženský;požiadavkami;ženský
bernolákovcov;mužský životný;bernolákovcov;mužský životný
i;;i;
tradíciou;ženský;tradíciou;ženský
českou;ženský;českou;ženský
či;;či;
československou;ženský;československou;ženský
.;;.;
Starú;ženský;Starú;ženský
meravú;ženský;meravú;ženský
nekompromisnosť;ženský;nekompromisnosť;ženský
a;;a;
nekomunikatívnosť;ženský;nekomunikatívnosť;ženský
oživila;ženský;oživila;ženský
idea;ženský;idea;ženský
odtrhnutia;stredný;odtrhnutia;stredný
Slovenska;stredný;Slovenska;stredný
od;;od;
tisícročného;stredný;tisícročného;stredný
Uhorska;stredný;Uhorska;stredný
a;;a;
najmä;;najmä;
štátneho;stredný;štátneho;stredný
spojenia;stredný;spojenia;stredný
s;;s;
Čechmi;mužský životný;Čechmi;mužský životný
.;;.;
Takže;;Takže;
nacionalisticko;;nacionalisticko;
-;;-;
sociálny;mužský neživotný;sociálny;mužský neživotný
populizmus;mužský neživotný;populizmus;mužský neživotný
Mečiarov;mužský neživotný;Mečiarov;mužský neživotný
je;;je;
,;;,;
povedal;mužský životný;povedal;mužský životný
by;;by;
som;;som;
,;;,;
prirodzeným;mužský neživotný;prirodzeným;mužský neživotný
plodom;mužský neživotný;plodom;mužský neživotný
stáročného;mužský neživotný;stáročného;mužský neživotný
vývinu;mužský neživotný;vývinu;mužský neživotný
slovenskej;ženský;slovenskej;ženský
spoločnosti;ženský;spoločnosti;ženský
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
Pre;;Pre;
časopis;mužský neživotný;časopis;mužský neživotný
Záhorského;stredný;Záhorského;stredný
múzea;stredný;múzea;stredný
v;;v;
Skalici;ženský;Skalici;ženský
„;;„;
Záhorie;stredný;Záhorie;stredný
“;;;
Výstava;ženský;Výstava;ženský
vzorného;stredný;vzorného;stredný
balenia;stredný;balenia;stredný
potravín;ženský;potravín;ženský
v;;v;
Skalici;ženský;Skalici;ženský
Nemôžem;;Nemôžem;
pritom;;pritom;
nespomenúť;;nespomenúť;
ešte;;ešte;
jednu;ženský;jednu;ženský
vec;ženský;vec;ženský
.;;.;
Kto;mužský životný;Kto;mužský životný
by;;by;
to;stredný;to;stredný
kupoval;mužský životný;kupoval;mužský životný
?;;?;
!;;!;
A;;A;
obchody;mužský neživotný;obchody;mužský neživotný
,;;,;
ktoré;ženský;ktoré;mužský neživotný
chcú;;chcú;
predávať;;predávať;
zaručene;;zaručene;
čerstvý;mužský neživotný;čerstvý;mužský neživotný
,;;,;
v;;v;
noci;ženský;noci;ženský
upečený;mužský neživotný;upečený;mužský neživotný
a;;a;
nezabalený;mužský neživotný;nezabalený;mužský neživotný
chlieb;mužský neživotný;chlieb;mužský neživotný
,;;,;
musia;;musia;
ho;mužský životný;ho;mužský neživotný
držať;;držať;
v;;v;
osobitných;ženský;osobitných;ženský
zasklených;ženský;zasklených;ženský
policiach;ženský;policiach;ženský
,;;,;
takže;;takže;
skôr;;skôr;
nebalenie;stredný;nebalenie;stredný
chlieb;mužský neživotný;chlieb;mužský neživotný
zdražuje;;zdražuje;
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
Vlastný;mužský neživotný;Vlastný;mužský neživotný
gól;mužský neživotný;gól;mužský neživotný
slovenskej;ženský;slovenskej;ženský
inteligencie;ženský;inteligencie;ženský
Pred;;Pred;
voľbami;ženský;voľbami;ženský
bolo;stredný;bolo;stredný
–;;–;
v;;v;
neposlednom;mužský neživotný;neposlednom;mužský neživotný
rade;mužský neživotný;rade;mužský neživotný
v;;v;
Mostoch;mužský neživotný;Mostoch;mužský neživotný
–;;–;
mnoho;stredný;mnoho;stredný
krásnych;mužský neživotný;krásnych;mužský neživotný
vzletných;mužský neživotný;vzletných;mužský neživotný
výkladov;mužský neživotný;výkladov;mužský neživotný
,;;,;
prečo;;prečo;
treba;;treba;
voliť;;voliť;
Martina;mužský životný;Martina;mužský životný
Bútoru;mužský životný;Bútoru;mužský životný
.;;.;
Takže;;Takže;
teraz;;teraz;
veľmi;;veľmi;
čakám;;čakám;
,;;,;
či;;či;
niekto;mužský životný;niekto;mužský životný
z;;z;
mienkotvorných;ženský;mienkotvorných;ženský
hláv;ženský;hláv;ženský
Bútorovho;mužský neživotný;Bútorovho;mužský neživotný
elektorátu;mužský neživotný;elektorátu;mužský neživotný
urobí;;urobí;
sebakritickú;ženský;sebakritickú;ženský
analýzu;ženský;analýzu;ženský
tohto;mužský neživotný;tohto;mužský neživotný
svojho;mužský neživotný;svojho;mužský neživotný
fatálneho;mužský neživotný;fatálneho;mužský neživotný
politického;mužský neživotný;politického;mužský neživotný
omylu;mužský neživotný;omylu;mužský neživotný
.;;.;
Že;;Že;
Mečiar;mužský životný;Mečiar;mužský životný
,;;,;
suverénny;mužský životný;suverénny;mužský životný
víťaz;mužský životný;víťaz;mužský životný
prvého;stredný;prvého;stredný
kola;stredný;kola;stredný
,;;,;
v;;v;
druhom;stredný;druhom;stredný
kole;stredný;kole;stredný
bol;mužský neživotný;bol;mužský životný
spektakulárne;;spektakulárne;
odmietnutý;mužský životný;odmietnutý;mužský životný
,;;,;
je;;je;
spravodlivý;mužský neživotný;spravodlivý;mužský neživotný
trest;mužský neživotný;trest;mužský neživotný
za;;za;
roky;mužský neživotný;roky;mužský neživotný
jeho;stredný;jeho;stredný
vládnutia;stredný;vládnutia;stredný
.;;.;
Ľubomír;mužský životný;Ľubomír;mužský životný
Ďurovič;mužský životný;Ďurovič;mužský životný
profesor;mužský životný;profesor;mužský životný
emeritus;;emeritus;
slovanských;mužský neživotný;slovanských;mužský neživotný
jazykov;mužský neživotný;jazykov;mužský neživotný
Scenár;mužský neživotný;Scenár;mužský neživotný
:;;:;
Adam;mužský životný;Adam;mužský životný
Rifkin;mužský životný;Rifkin;mužský životný
,;;,;
Gavin;mužský životný;Gavin;mužský životný
Scott;mužský životný;Scott;mužský životný
Réžia;ženský;Réžia;ženský
:;;:;
Joe;mužský životný;Joe;mužský životný
Dante;mužský životný;Dante;mužský životný
Kamera;ženský;Kamera;ženský
:;;:;
Jamie;mužský životný;Jamie;mužský životný
Anderson;mužský životný;Anderson;mužský životný
Hudba;ženský;Hudba;ženský
:;;:;
Jerry;mužský životný;Jerry;mužský životný
Goldsmith;mužský životný;Goldsmith;mužský životný
DOLBY;;DOLBY;
STERO;;STERO;
Gil;mužský životný;Gil;mužský životný
Mars;mužský životný;Mars;mužský životný
,;;,;
najbohatší;mužský životný;najbohatší;mužský životný
muž;mužský životný;muž;mužský životný
sveta;mužský neživotný;sveta;mužský neživotný
,;;,;
je;;je;
majiteľom;mužský životný;majiteľom;mužský životný
počítačovej;ženský;počítačovej;ženský
spoločnosti;ženský;spoločnosti;ženský
MarsTech;;MarsTech;
,;;,;
ktorá;ženský;ktorá;ženský
vyrába;;vyrába;
aj;;aj;
hračky;ženský;hračky;ženský
pre;;pre;
deti;stredný;deti;stredný
tretieho;stredný;tretieho;stredný
tisícročia;stredný;tisícročia;stredný
.;;.;
Dnes;;Dnes;
je;;je;
autogramiáda;ženský;autogramiáda;ženský
Ivy;ženský;Ivy;ženský
Janžurovej;ženský;Janžurovej;ženský
a;;a;
Markéty;ženský;Markéty;ženský
Hrubešovej;ženský;Hrubešovej;ženský
a;;a;
potom;;potom;
je;;je;
tlačová;ženský;tlačová;ženský
konferencia;ženský;konferencia;ženský
Paulom;mužský životný;Paulom;mužský životný
Morrisseyom;mužský životný;Morrisseyom;mužský životný
.;;.;
Večer;;Večer;
bude;;bude;
Lauren;ženský;Lauren;ženský
Bacall;ženský;Bacall;ženský
uvádzať;;uvádzať;
film;mužský neživotný;film;mužský neživotný
Hlboký;mužský neživotný;Hlboký;mužský neživotný
spánok;mužský neživotný;spánok;mužský neživotný
.;;.;
Napokon;;Napokon;
zvíťazila;ženský;zvíťazila;ženský
láska;ženský;láska;ženský
.;;.;
Grazie;;Grazie;
all;;all;
';;';
Italia;;Italia;
.;;.;
Grazie;;Grazie;
all;;all;
';;';
America;;America;
,;;,;
';;';
';;';
kričal;mužský životný;kričal;mužský životný
z;;z;
pódia;stredný;pódia;stredný
nadšený;mužský životný;nadšený;mužský životný
Benigni;mužský životný;Benigni;mužský životný
.;;.;
Uvidíme;;Uvidíme;
,;;,;
ako;;ako;
do;stredný;do;stredný
celé;stredný;celé;stredný
dopadne;;dopadne;
.;;.;
Pôvodný;mužský neživotný;Pôvodný;mužský neživotný
scenár;mužský neživotný;scenár;mužský neživotný
:;;:;
Zamilovaný;mužský životný;Zamilovaný;mužský životný
Shakespeare;mužský životný;Shakespeare;mužský životný
Scenár;mužský neživotný;Scenár;mužský neživotný
-;;-;
adaptácia;ženský;adaptácia;ženský
:;;:;
Tenká;ženský;Tenká;ženský
červená;ženský;červená;ženský
čiara;ženský;čiara;ženský
Výprava;ženský;Výprava;ženský
:;;:;
Zamilovaný;mužský životný;Zamilovaný;mužský životný
Shakespeare;mužský životný;Shakespeare;mužský životný
Kostýmy;mužský neživotný;Kostýmy;mužský neživotný
:;;:;
Kráľovná;ženský;Kráľovná;ženský
Alžbeta;ženský;Alžbeta;ženský
Pôvodná;ženský;Pôvodná;ženský
hudba;ženský;hudba;ženský
k;;k;
muzikálu;mužský neživotný;muzikálu;mužský neživotný
,;;,;
alebo;;alebo;
komédii;ženský;komédii;ženský
:;;:;
Princ;mužský životný;Princ;mužský životný
egyptský;mužský neživotný;egyptský;mužský životný
Krátkometrážny;mužský neživotný;Krátkometrážny;mužský neživotný
hraný;mužský neživotný;hraný;mužský neživotný
film;mužský neživotný;film;mužský neživotný
:;;:;
LA;;LA;
CARTE;;CARTE;
POSTALE;;POSTALE;
(;;(;
The;;The;
Postcard;;Postcard;
);;);
Zvuk;mužský neživotný;Zvuk;mužský neživotný
:;;:;
Zachráňte;;Zachráňte;
vojaka;mužský životný;vojaka;mužský životný
Ryana;mužský životný;Ryana;mužský životný
Vizuálne;mužský neživotný;Vizuálne;mužský neživotný
efekty;mužský neživotný;efekty;mužský neživotný
:;;:;
Armageddon;mužský neživotný;Armageddon;mužský neživotný
Tento;mužský neživotný;Tento;mužský neživotný
ročník;mužský neživotný;ročník;mužský neživotný
priniesol;mužský neživotný;priniesol;mužský neživotný
hneď;;hneď;
niekoľko;stredný;niekoľko;stredný
prekvapení;stredný;prekvapení;stredný
.;;.;
Kompletný;mužský neživotný;Kompletný;mužský neživotný
program;mužský neživotný;program;mužský neživotný
3;;3;
.;;.;
Gay;;Gay;
Film;;Film;
Festivalu;mužský neživotný;Festivalu;mužský neživotný
Slovakia;ženský;Slovakia;ženský
nájdete;;nájdete;
na;;na;
Film;;Film;
Site;;Site;
v;;v;
rubrike;ženský;rubrike;ženský
Ceny;ženský;Ceny;ženský
a;;a;
festivaly;mužský neživotný;festivaly;mužský neživotný
.;;.;
Americká;ženský;Americká;ženský
premiéra;ženský;premiéra;ženský
bola;ženský;bola;ženský
plánovaná;ženský;plánovaná;ženský
na;;na;
júl;mužský neživotný;júl;mužský neživotný
a;;a;
v;;v;
slovenských;stredný;slovenských;stredný
kinách;stredný;kinách;stredný
by;;by;
sa;;sa;
mal;mužský neživotný;mal;mužský neživotný
objaviť;;objaviť;
21;;21;
.;;.;
10;;10;
.;;.;
1999;;1999;
pod;;pod;
názvom;mužský neživotný;názvom;mužský neživotný
Spaľujúca;ženský;Spaľujúca;ženský
túžba;ženský;túžba;ženský
.;;.;
MICHALKOV;mužský životný;MICHALKOV;mužský životný
FOR;;FOR;
PRESIDENT;;PRESIDENT;
"""";;"""";
Zoberiem;;Zoberiem;
tú;ženský;tú;ženský
funkciu;ženský;funkciu;ženský
,;;,;
ak;;ak;
to;stredný;to;stredný
ľudia;mužský životný;ľudia;mužský životný
naozaj;;naozaj;
budú;;budú;
chcieť;;chcieť;
,;;,;
"""";;"""";
povedal;mužský životný;povedal;mužský životný
režisér;mužský životný;režisér;mužský životný
.;;.;
MADONNA;ženský;MADONNA;ženský
REŽISÉRKOU;ženský;REŽISÉRKOU;ženský
Madonna;ženský;Madonna;ženský
po;;po;
úspechu;mužský neživotný;úspechu;mužský neživotný
albumu;mužský neživotný;albumu;mužský neživotný
Ray;;Ray;
of;;of;
Light;;Light;
odriekla;ženský;odriekla;ženský
herecké;ženský;herecké;ženský
ponuky;ženský;ponuky;ženský
.;;.;
Bude;;Bude;
to;stredný;to;stredný
filmové;stredný;filmové;stredný
spracovanie;stredný;spracovanie;stredný
románu;mužský neživotný;románu;mužský neživotný
Rene;mužský životný;Rene;mužský životný
Steinkeho;mužský životný;Steinkeho;mužský životný
,;;,;
ktorý;mužský neživotný;ktorý;mužský neživotný
vychádza;;vychádza;
v;;v;
USA;;USA;
v;;v;
týchto;mužský neživotný;týchto;mužský neživotný
dňoch;mužský neživotný;dňoch;mužský neživotný
.;;.;
MALKOVICH;mužský životný;MALKOVICH;mužský životný
AKO;;AKO;
F;;F;
.;;.;
W;;W;
.;;.;
MURNAU;mužský životný;MURNAU;mužský životný
Nakrúcanie;stredný;Nakrúcanie;stredný
by;;by;
sa;;sa;
malo;stredný;malo;stredný
začať;;začať;
v;;v;
apríli;mužský neživotný;apríli;mužský neživotný
v;;v;
Luxemburgu;mužský neživotný;Luxemburgu;mužský neživotný
.;;.;
POZOR;;POZOR;
!;;!;
ŠULAJ;mužský životný;ŠULAJ;mužský životný
PÍŠE;;PÍŠE;
ROZPRÁVKU;ženský;ROZPRÁVKU;ženský
Ako;;Ako;
vyzerá;;vyzerá;
herec;mužský životný;herec;mužský životný
snov;mužský neživotný;snov;mužský neživotný
?;;?;
Telo;stredný;Telo;stredný
by;;by;
malo;stredný;malo;stredný
mať;;mať;
šiju;ženský;šiju;ženský
Jenny;ženský;Jenny;ženský
Elfman;ženský;Elfman;ženský
,;;,;
ramená;ženský;ramená;stredný
Courtney;ženský;Courtney;ženský
Love;ženský;Love;ženský
,;;,;
zadok;mužský životný;zadok;mužský neživotný
Jennifer;mužský životný;Jennifer;ženský
Lopez;mužský životný;Lopez;ženský
,;;,;
pupok;mužský neživotný;pupok;mužský neživotný
Sandry;ženský;Sandry;ženský
Bullock;ženský;Bullock;ženský
a;;a;
nohy;ženský;nohy;ženský
Miry;ženský;Miry;ženský
Sorvino;ženský;Sorvino;ženský
.;;.;
HVIEZDY;ženský;HVIEZDY;ženský
V;;V;
HOLANDSKU;stredný;HOLANDSKU;stredný
Režíruje;;Režíruje;
ho;mužský neživotný;ho;mužský neživotný
holandský;mužský životný;holandský;mužský životný
režisér;mužský životný;režisér;mužský životný
